평점,지하철_도보,음식_종류,근처_카페_여부,선택
4.8,300.0,양식,True,True
3.2,560.0,중식,True,False
3.1,40.0,한식,True,False
4.2,310.0,한식,True,True
3.3,230.0,일식,False,True
4.1,290.0,일식,False,False
4.5,40.0,일식,False,True
3.1,150.0,한식,False,True
3.8,530.0,한식,False,True
4.0,350.0,한식,True,True
4.8,200.0,양식,False,True
4.3,160.0,한식,True,True
4.9,170.0,일식,False,False
4.1,40.0,한식,False,False
4.4,60.0,한식,False,False
4.1,10.0,중식,False,False
3.4,530.0,중식,False,False
4.3,370.0,일식,False,True
3.5,220.0,양식,False,False
3.9,20.0,중식,True,True
4.9,270.0,중식,False,True
3.8,30.0,한식,True,True
3.8,560.0,일식,False,False
3.6,440.0,한식,True,True
4.7,60.0,중식,False,True
3.6,240.0,한식,True,False
4.4,480.0,한식,False,False
4.7,170.0,한식,False,True
3.9,580.0,일식,False,False
3.6,40.0,한식,True,True
3.1,470.0,일식,False,True
3.9,140.0,중식,False,True
4.8,550.0,양식,True,True
3.0,270.0,일식,False,False
4.5,300.0,한식,True,False
3.5,180.0,일식,True,True
3.3,570.0,한식,True,False
3.4,540.0,일식,True,True
4.5,330.0,일식,True,True
3.9,260.0,일식,False,False
4.0,340.0,일식,True,True
4.2,390.0,한식,False,False
4.6,300.0,한식,False,False
3.2,110.0,일식,False,False
3.4,540.0,중식,True,False
4.8,540.0,일식,False,True
3.8,390.0,양식,False,True
3.7,240.0,양식,True,True
4.5,400.0,일식,False,False
3.2,300.0,한식,True,True
4.4,170.0,일식,False,True
3.2,160.0,일식,True,True
3.8,290.0,중식,False,True
4.6,20.0,일식,False,True
3.3,320.0,양식,False,True
5.0,320.0,양식,True,False
4.9,480.0,중식,True,True
3.8,230.0,한식,False,False
4.3,140.0,한식,False,True
3.6,580.0,일식,True,False
3.7,110.0,한식,True,True
3.5,170.0,양식,True,False
3.8,170.0,일식,False,True
4.6,580.0,양식,True,False
4.8,300.0,일식,False,False
3.1,550.0,일식,False,True
4.3,380.0,한식,True,False
4.9,50.0,한식,True,True
4.9,560.0,중식,False,True
4.5,110.0,중식,True,False
4.4,180.0,일식,True,True
3.1,440.0,중식,False,False
3.8,20.0,양식,False,True
3.3,220.0,양식,False,False
3.3,390.0,중식,False,False
4.8,440.0,중식,False,False
4.9,440.0,양식,False,False
4.0,230.0,일식,False,True
3.1,560.0,중식,False,True
3.7,170.0,한식,True,True
4.2,340.0,중식,True,True
4.1,60.0,중식,False,False
3.1,340.0,한식,False,True
3.2,230.0,일식,True,True
3.4,80.0,중식,False,True
4.9,180.0,중식,False,False
3.4,170.0,일식,False,True
4.4,470.0,한식,True,False
3.9,320.0,한식,False,True
3.1,400.0,양식,False,False
3.4,580.0,한식,True,True
4.8,210.0,중식,False,True
3.1,580.0,양식,True,True
3.7,600.0,일식,True,False
3.5,250.0,한식,False,True
3.3,240.0,일식,True,True
3.9,520.0,중식,False,True
3.9,60.0,일식,True,True
4.4,580.0,양식,False,True
4.8,0.0,한식,False,False
